"generation","iteration","region","window_coords","snp_count","T2D","T1D_p1","T1D_p2","new_term_p1","new_term_p2","T2D_diff","FST"
5000,7,"foreground","1 1000001-1500000",2734,5348.68708626588,72.2790157487925,49.3058305059749,5276.40807051709,5299.3812557599,5337.20049364447,0.0708867
5000,7,"background","1 500001-1000000",3058,432.031805096602,11.1321956290813,69.0353894876498,420.89960946752,362.996415608952,460.983402025886,0.00332065
2000,8,"foreground","1 1000001-1500000",1380,553.018777402327,5.61261106911115,80.0051566472721,547.406166333216,473.013620755055,590.215050191407,0.000461532
2000,8,"background","1 500001-1000000",1592,227.792038836244,38.5005598270054,10.8300609716953,189.291479009238,216.961977864548,213.956789408589,0.000786208
3000,8,"foreground","1 1000001-1500000",1907,624.088508636789,12.9699104840565,5.56655037102246,611.118598152732,618.521958265766,620.386828580272,0.0209755
3000,8,"background","1 500001-1000000",2480,379.635780926463,17.6947270589953,2.62489022940645,361.941053867467,377.010890697056,372.100862511668,0.00389017
4000,8,"foreground","1 1000001-1500000",2562,418.976357525586,122.633643061767,99.7266619589318,296.342714463819,319.249695566654,407.522866974168,0.246801
4000,8,"background","1 500001-1000000",2936,276.22356028395,60.8698656367378,45.4861636829701,215.353694647212,230.73739660098,268.531709307066,0.00741583
5000,8,"foreground","1 1000001-1500000",2857,6962.2109510374,289.599978341303,433.159240174642,6672.6109726961,6529.05171086276,7033.99058195407,0.481183
5000,8,"background","1 500001-1000000",3094,298.629947718488,115.8033089409,14.5646429415065,182.826638777588,284.065304776981,248.010614718791,0.0108636
2000,9,"foreground","1 1000001-1500000",1438,419.473579281175,27.5502587819683,6.92152715570228,391.923320499207,412.552052125473,409.159213468042,0.000347608
2000,9,"background","1 500001-1000000",1416,234.32450451658,27.5706534683304,6.4339633583877,206.75385104825,227.890541158193,223.756159461609,0.00109508
3000,9,"foreground","1 1000001-1500000",2253,298.947603646382,19.6842986355114,99.170689646191,279.263305010871,199.776914000191,338.690799151722,0.0162481
3000,9,"background","1 500001-1000000",2230,206.769645198186,23.2561128727466,82.21433101406,183.51353232544,124.555314184126,236.248754268843,0.00537459
4000,9,"foreground","1 1000001-1500000",2653,606.562565354288,306.686954867462,40.0654794380353,299.875610486826,566.497085916253,473.251827639575,0.0800492
4000,9,"background","1 500001-1000000",2911,298.225859851656,28.9469360092808,52.438694147666,269.278923842376,245.78716570399,309.971738920849,0.00576765
5000,9,"foreground","1 1000001-1500000",2677,4936.1180580024,65.4302463725544,40.7931895728561,4870.68781162985,4895.32486842954,4923.79952960255,0.314294
5000,9,"background","1 500001-1000000",3047,244.051985088277,84.5461158825674,49.9045844619686,159.50586920571,194.147400626309,226.731219377978,0.00675574
2000,10,"foreground","1 1000001-1500000",1508,430.353884485481,33.7192200925056,58.3965008490595,396.634664392976,371.957383636422,442.692524863758,0.000596571
2000,10,"background","1 500001-1000000",1590,161.919175120223,9.14776819595318,35.177493293364,152.77140692427,126.741681826859,174.934037668929,0.000836086
3000,10,"foreground","1 1000001-1500000",2435,256.591639000166,13.2788786730707,42.3946556380833,243.312760327095,214.196983362082,271.149527482672,0.0039656
3000,10,"background","1 500001-1000000",2277,260.167611454282,105.146937127978,110.803777188314,155.020674326304,149.363834265969,262.99603148445,0.00280658
4000,10,"foreground","1 1000001-1500000",2827,747.34836804348,167.855712509001,186.16752786166,579.492655534479,561.18084018182,756.50427571981,0.00524522
4000,10,"background","1 500001-1000000",2791,294.814079906333,43.6957544177385,119.983023853398,251.118325488595,174.831056052935,332.957714624163,0.00347886
5000,10,"foreground","1 1000001-1500000",3555,660.813154604017,49.3018651083803,22.8240040985074,611.511289495636,637.989150505509,647.57422409908,0.214714
5000,10,"background","1 500001-1000000",2831,218.776723728926,75.8951855496416,53.1094857853386,142.881538179285,165.667237943588,207.383873846775,0.00421476
2000,11,"foreground","1 1000001-1500000",1349,529.976971202439,101.888555254447,53.0249467478989,428.088415947992,476.95202445454,505.545166949165,0.000548484
2000,11,"background","1 500001-1000000",1452,335.298888962905,65.7413726078048,35.7474309146019,269.5575163551,299.551458048303,320.301918116304,0.000599001
3000,11,"foreground","1 1000001-1500000",1867,399.665189673771,17.1942191419475,28.7878231461891,382.470970531824,370.877366527582,405.461991675892,0.0032317
3000,11,"background","1 500001-1000000",2406,297.785253947921,55.2655364124439,34.8611237226432,242.519717535477,262.924130225278,287.583047603021,0.00433818
4000,11,"foreground","1 1000001-1500000",2441,745.834435629498,142.639555231704,261.117799517308,603.194880397794,484.716636112191,805.0735577723,0.00854767
4000,11,"background","1 500001-1000000",2871,246.638859059807,32.1109642784359,118.856437961535,214.527894781371,127.782421098273,290.011595901356,0.00338223
5000,11,"foreground","1 1000001-1500000",2755,5453.96707227161,108.936161965001,268.067922236663,5345.03091030661,5185.89915003495,5533.53295240744,0.01786
5000,11,"background","1 500001-1000000",3173,326.592737277198,37.1572091589987,41.8048916286316,289.4355281182,284.787845648567,328.916578512015,0.00349234
2000,12,"foreground","1 1000001-1500000",1326,308.640326764549,12.290409602967,35.690669028636,296.349917161582,272.949657735913,320.340456477384,0.000617713
2000,12,"background","1 500001-1000000",1688,270.005555767453,59.6555441732435,55.3045810997846,210.35001159421,214.700974667669,267.830074230724,0.000649366
3000,12,"foreground","1 1000001-1500000",2258,673.771412632115,34.2715939841892,15.1223963837638,639.499818647926,658.649016248351,664.196813831903,0.00403409
3000,12,"background","1 500001-1000000",2382,312.551075798514,56.5159984285056,13.0282897402176,256.035077370008,299.522786058296,290.80722145437,0.00467811
4000,12,"foreground","1 1000001-1500000",2513,441.719142175785,72.7493033152241,140.134807737384,368.969838860561,301.584334438401,475.411894386865,0.0553848
4000,12,"background","1 500001-1000000",2591,279.217889548596,13.5864941743494,2.54235002258429,265.631395374246,276.675539526012,273.695817472713,0.00322029
5000,12,"background","1 500001-1000000",2775,284.872042272938,17.0647377935784,0.415533334318752,267.80730447936,284.45650893862,276.547440043309,0.00775354
2000,13,"foreground","1 1000001-1500000",1410,336.275960555895,103.6263885968,35.3886465890537,232.649571959095,300.887313966841,302.157089552022,0.000784823
2000,13,"background","1 500001-1000000",1524,231.71707743689,30.149483570267,46.5005697719098,201.567593866623,185.21650766498,239.892620537711,0.000446717
3000,13,"foreground","1 1000001-1500000",2493,345.483372689523,31.4363862586069,42.0521932116499,314.046986430916,303.431179477873,350.791276166045,0.00692416
3000,13,"background","1 500001-1000000",2480,309.813353743375,63.6665605206472,51.4907816282175,246.146793222728,258.322572115158,303.72546429716,0.00278843
4000,13,"foreground","1 1000001-1500000",2494,1927.1008962667,119.835065395775,343.120474626303,1807.26583087093,1583.9804216404,2038.74360088196,0.00712226
4000,13,"background","1 500001-1000000",2848,216.629089577676,85.5429792347786,56.1887241202312,131.086110342898,160.440365457445,201.951962020403,0.00253604
5000,13,"foreground","1 1000001-1500000",2779,14500.2993345972,244.660953393581,402.576299924363,14255.6383812036,14097.7230346729,14579.2570078626,0.0443001
5000,13,"background","1 500001-1000000",2769,356.475771785772,122.676286371156,30.3679221131206,233.799485414616,326.107849672651,310.321589656754,0.00522151
2000,14,"foreground","1 1000001-1500000",1631,443.167408174722,51.3824605616355,14.6193253041401,391.784947613087,428.548082870582,424.785840545975,0.00112317
2000,14,"background","1 500001-1000000",1450,381.049171918912,83.8553376280233,30.5564475344454,297.193834290889,350.492724384467,354.399726872123,0.00105865
3000,14,"foreground","1 1000001-1500000",2110,514.484033149398,123.250206527595,20.6461411333112,391.233826621803,493.837892016087,463.182000452256,0.00431968
3000,14,"background","1 500001-1000000",2406,335.864532440697,176.453663996715,31.7237124779313,159.410868443982,304.140819962766,263.499556681305,0.00249632
4000,14,"foreground","1 1000001-1500000",2300,7666.47182463583,188.694661735266,34.8925201784623,7477.77716290057,7631.57930445737,7589.57075385743,0.130533
4000,14,"background","1 500001-1000000",2658,202.230914245265,69.0731633618707,83.8980160873434,133.157750883394,118.332898157922,209.643340608001,0.00650084
5000,14,"foreground","1 1000001-1500000",3086,13576.2409377366,145.749381298254,672.807670929225,13430.4915564384,12903.4332668074,13839.7700825521,0.39635
5000,14,"background","1 500001-1000000",3240,410.911335944067,119.18984735111,0.652750838198699,291.721488592957,410.258585105868,351.642787687611,0.00946804
2000,15,"foreground","1 1000001-1500000",1204,456.897403959765,37.1478549253188,150.379513758933,419.749549034446,306.517890200832,513.513233376572,0.000625706
2000,15,"background","1 500001-1000000",1533,277.334897608554,54.6243887095607,22.1778655844464,222.710508898994,255.157032024108,261.111636045997,0.000803754
3000,15,"foreground","1 1000001-1500000",2103,398.833705045879,40.5786628641272,40.2047589786325,358.255042181752,358.628946067247,398.646753103132,0.012082
3000,15,"background","1 500001-1000000",2512,263.548666834919,5.63265955720271,62.7007521631022,257.916007277716,200.847914671816,292.082713137868,0.00305896
4000,15,"foreground","1 1000001-1500000",2289,3241.86059164798,142.08387780311,187.286167798973,3099.77671384487,3054.57442384901,3264.46173664591,0.0326815
4000,15,"background","1 500001-1000000",2730,207.685125281831,118.760530949319,16.8298472075585,88.9245943325113,190.855278074272,156.71978341095,0.00288956
5000,15,"foreground","1 1000001-1500000",2984,5001.86927575655,152.651693200245,176.7185095161,4849.21758255631,4825.15076624045,5013.90268391448,0.191528
5000,15,"background","1 500001-1000000",3079,302.452245181965,19.3120088570067,5.24541950252751,283.140236324958,297.206825679437,295.418950504725,0.00376883
2000,16,"foreground","1 1000001-1500000",1464,729.258710823142,39.0646847119278,81.0857565543356,690.194026111214,648.172954268806,750.269246744346,0.000454742
2000,16,"background","1 500001-1000000",1474,401.598217153121,29.2596622487436,13.7242262056388,372.338554904378,387.873990947483,393.830499131569,0.000346168
3000,16,"foreground","1 1000001-1500000",2410,583.726130323259,43.0685317293101,5.54305776046385,540.657598593949,578.183072562795,564.963393338836,0.0124074
3000,16,"background","1 500001-1000000",2228,239.769702747803,21.794598273169,56.1674012747681,217.975104474634,183.602301473034,256.956104248602,0.00353683
4000,16,"background","1 500001-1000000",2741,364.441932237954,169.628965380485,27.530362173442,194.812966857469,336.911570064512,293.392630634433,0.00387344
5000,16,"foreground","1 1000001-1500000",2914,15385.8054626044,1040.2498734367,731.431248998273,14345.5555891677,14654.3742136061,15231.3961503852,0.189253
5000,16,"background","1 500001-1000000",3208,360.775939674815,40.0111626981707,31.5864065602946,320.764776976644,329.189533114521,356.563561605877,0.00499463
2000,17,"foreground","1 1000001-1500000",1536,395.973608220072,31.1205240238287,15.2832694370245,364.853084196244,380.690338783048,388.05498092667,0.000718265
2000,17,"background","1 500001-1000000",1526,251.010583488645,71.1132307795888,8.13129414300965,179.897352709057,242.879289345636,219.519615170356,0.000775363
3000,17,"foreground","1 1000001-1500000",2075,289.366760451383,23.0137309884849,46.4354364256578,266.353029462898,242.931324025725,301.077613169969,0.00419712
3000,17,"background","1 500001-1000000",2656,235.367887192817,4.12538845461313,30.2934238281123,231.242498738204,205.074463364705,248.451904879566,0.00331097
4000,17,"foreground","1 1000001-1500000",2289,1399.40938635656,65.6577958632115,254.036776952827,1333.75159049335,1145.37260940373,1493.59887690137,0.0105215
4000,17,"background","1 500001-1000000",2706,334.712371790221,29.1782155199726,107.969138958091,305.534156270249,226.74323283213,374.107833509281,0.00341693
5000,17,"foreground","1 1000001-1500000",2843,10816.7226739648,13.6230541696896,208.885085432765,10803.0996197951,10607.837588532,10914.3536895963,0.308061
5000,17,"background","1 500001-1000000",3210,247.432387508277,25.580391298965,88.2898667126283,221.851996209312,159.142520795649,278.787125215109,0.00444618
2000,18,"foreground","1 1000001-1500000",1510,923.27029173918,114.583054254344,49.387443673877,808.687237484835,873.882848065303,890.672486448946,0.000621893
