generation,iteration,region,window_coords,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
3000,9,background,1 1-500000,2366,262.90955166177446,68.27043970940213,88.41154016320979,194.63911195237233,174.49801149856467,272.9801018886783
3000,9,background,1 500001-1000000,2443,286.5260172145463,16.175579955641297,180.61400123946441,270.350437258905,105.91201597508189,368.74522785645786
3000,9,foreground,1 1000001-1500000,2037,8546.088906021658,148.36925233142392,150.02399906658138,8397.719653690234,8396.064906955076,8546.916279389236
3000,7,background,1 1-500000,2415,350.20374786174216,16.71186237069196,59.14444208297573,333.4918854910502,291.05930577876643,371.42003771788404
3000,7,background,1 500001-1000000,2467,418.0011539060906,80.78775578675777,63.561630066174985,337.21339811933285,354.43952383991564,409.38809104579923
3000,7,foreground,1 1000001-1500000,2265,2353.4388930719215,174.80701196936388,93.89106255463776,2178.6318811025576,2259.5478305172837,2312.9809183645584
3000,6,background,1 1-500000,2331,292.33435951571664,13.82605060494825,74.72140369727822,278.5083089107684,217.61295581843842,322.7820360618816
3000,6,background,1 500001-1000000,2407,238.18625948059344,1.215869863426633,17.401513938639255,236.9703896171668,220.78474554195418,246.27908151819975
3000,6,foreground,1 1000001-1500000,2272,1954.9799514140032,55.55149914685899,62.369156034905245,1899.4284522671442,1892.610795379098,1958.3887798580263
3000,1,background,1 1-500000,2515,486.58770260836536,37.402748954089475,63.284630143942195,449.1849536542759,423.30307246442317,499.5286432032917
3000,1,background,1 500001-1000000,2325,317.43584798458323,38.11021702695507,57.87235819122179,279.32563095762816,259.56348979336144,327.3169185667166
3000,1,foreground,1 1000001-1500000,2246,3871.655547776474,24.38118222365847,12.22718979893034,3847.2743655528157,3859.428357977544,3865.57855156411
3000,8,background,1 1-500000,2347,284.4232278984855,26.853457960784,39.78473461963222,257.5697699377015,244.63849327885328,290.8888662279096
3000,8,background,1 500001-1000000,2464,393.6920218568084,14.73798003329648,126.21733961905556,378.95404182351194,267.47468223775286,449.43170164968797
3000,8,foreground,1 1000001-1500000,2493,2017.426417960247,10.543992872124363,47.33111587103667,2006.8824250881225,1970.0953020892102,2035.819979459703
3000,38,background,1 1-500000,2313,379.6961277670489,26.38289877110583,90.03352770542915,353.31322899594306,289.66260006161974,411.52144223421055
3000,38,background,1 500001-1000000,2371,568.0437916648589,67.16499441275664,79.20537999338558,500.87879725210223,488.8384116714733,574.0639844551733
