generation,iteration,region,window_coords,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
7000,9,background,1 1-500000,320,146.38902427924404,3.1262580366226302,4.964172823398258,143.2627662426214,141.42485145584578,147.30798167263185
7000,9,background,1 500001-1000000,277,126.00519519861882,11.458214472856753,13.61994280569536,114.54698072576207,112.38525239292346,127.08605936503812
7000,9,foreground,1 1000001-1500000,316,164.06238006980607,18.441524081313673,10.260518408696953,145.6208559884924,153.80186166110911,159.9718772334977
7000,7,background,1 1-500000,324,133.0522799719265,7.417417777542141,17.214596758652306,125.63486219438437,115.8376832132742,137.9508694624816
7000,7,background,1 500001-1000000,228,192.8355935463626,19.318430147819868,21.4946005235048,173.51716339854272,171.3409930228578,193.92367873420505
7000,7,foreground,1 1000001-1500000,283,138.0331424210417,4.320856026169167,37.98263764001035,133.71228639487254,100.05050478103135,154.8640332279623
7000,6,background,1 1-500000,313,128.8617794424165,16.70136168901081,23.719808024029362,112.16041775340568,105.14197141838713,132.37100260992577
7000,6,background,1 500001-1000000,321,136.4973622813245,3.5403827548625486,12.008296505764974,132.95697952646196,124.48906577555954,140.73131915677573
7000,6,foreground,1 1000001-1500000,331,277.81375596499583,18.543793944250183,39.10966456599408,259.26996202074565,238.70409139900175,288.0966912758678
7000,1,background,1 1-500000,308,149.0217336420733,14.972911563605749,4.182359045229077,134.04882207846754,144.8393745968442,143.62645738288495
7000,1,background,1 500001-1000000,282,200.06063891263238,18.36784242283943,4.987788958017632,181.69279648979295,195.07284995461475,193.37061218022149
7000,1,foreground,1 1000001-1500000,280,107.80429532007497,25.535330203858166,6.157978196781642,82.2689651162168,101.64631712329333,98.11561931653671
7000,8,background,1 1-500000,300,110.65444619984282,3.6354939394063877,12.138400415250544,107.01895226043644,98.51604578459228,114.9058994377649
7000,8,background,1 500001-1000000,291,97.36389139672997,6.981198512337642,27.757894922109017,90.38269288439233,69.60599647462095,107.75223960161566
7000,8,foreground,1 1000001-1500000,310,124.29857516143193,1.9994134812986886,15.72692076153271,122.29916168013324,108.57165439989922,131.16232880154894
7000,38,background,1 1-500000,287,110.0423522221945,8.224787668737918,6.61376880951525,101.81756455345658,103.42858341267925,109.23684279258316
7000,38,background,1 500001-1000000,275,184.87616051154146,30.383292442370703,18.85356442913462,154.49286806917075,166.02259608240684,179.11129650492342
7000,38,foreground,1 1000001-1500000,317,172.1617490783242,10.533098613256925,7.3589868621031655,161.62865046506727,164.80276221622103,170.5746932027473
7000,31,background,1 1-500000,321,237.3087453172352,51.388298507567924,33.06218394284565,185.92044680966728,204.24656137438956,228.14568803487407
7000,31,background,1 500001-1000000,321,134.13434066894206,13.611847364278674,23.985439784874643,120.52249330466339,110.14890088406742,139.32113687924004
7000,31,foreground,1 1000001-1500000,343,318.65340867018585,19.462056934656175,52.774210918238396,299.1913517355297,265.87919775194746,335.30948566197696
7000,36,background,1 1-500000,268,123.0858076290665,9.693984565895676,5.758471260871829,113.39182306317082,117.32733636819466,121.11805097655457
7000,36,background,1 500001-1000000,244,146.875851371135,15.074178543977268,7.926347503538864,131.80167282715774,138.94950386759615,143.3019358509158
7000,36,foreground,1 1000001-1500000,258,170.0138137708334,8.818472799349706,34.09677297249277,161.1953409714837,135.91704079834062,182.65296385740493
7000,96,background,1 1-500000,271,173.8757274466177,20.0450791193407,10.594551178086249,153.830648327277,163.28117626853145,169.15046347599048
7000,96,background,1 500001-1000000,321,152.5784434600646,9.406632285595833,14.250393953357161,143.17181117446876,138.32804950670743,155.00032429394525
7000,96,foreground,1 1000001-1500000,323,169.11017912887974,30.090360499836834,23.149804101324207,139.0198186290429,145.96037502755553,165.63990092962342
7000,62,background,1 1-500000,286,158.62530790823553,4.691628674921731,5.009640728545605,153.9336792333138,153.61566717968992,158.78431393504746
7000,62,background,1 500001-1000000,292,111.27587882994249,10.832890767471554,0.4468982149717249,100.44298806247093,110.82898061497076,106.08288255369257
