generation,iteration,region,window_coords,snp_count,T2D,T1D_p1,T1D_p2,new_term_p1,new_term_p2,T2D_diff
3000,9,background,1 1-500000,2398,163.52910512505332,24.88825151880883,48.17487165536659,138.6408536062445,115.35423346968673,175.1724151933322
3000,9,background,1 500001-1000000,2230,206.76964519818648,23.2561128727466,82.21433101406001,183.51353232543988,124.55531418412647,236.2487542688432
3000,9,foreground,1 1000001-1500000,2253,298.94760364638205,19.684298635511368,99.17068964619102,279.2633050108707,199.77691400019103,338.6907991517219
3000,7,background,1 1-500000,2203,288.1676202911367,30.611072147592495,57.55487166675812,257.5565481435442,230.61274862437858,301.6395200507195
3000,7,background,1 500001-1000000,2432,322.6614020982197,18.41599552367188,87.9262926012052,304.2454065745478,234.7351094970145,357.41655063698636
3000,7,foreground,1 1000001-1500000,2463,662.3532694030328,50.94289355964429,164.53046156251366,611.4103758433885,497.8228078405191,719.1470534044674
3000,6,background,1 1-500000,2441,267.3174599815575,20.916644662465842,118.75398175954979,246.40081531909163,148.5634782220077,316.23612853009945
3000,6,background,1 500001-1000000,2273,475.6801547100513,39.98633661032727,44.93922834643308,435.693818099724,430.7409263636182,478.1566005781042
3000,6,foreground,1 1000001-1500000,2239,393.8991640496788,60.225608228251076,64.6707938188556,333.6735558214277,329.2283702308232,396.12175684498106
3000,1,background,1 1-500000,2249,302.78581635627415,20.85038603339126,49.63029297882167,281.9354303228829,253.15552337745248,317.17576982898936
3000,1,background,1 500001-1000000,2469,553.6706194657672,58.13891311090629,135.4491568583653,495.53170635486094,418.2214626074019,592.3257413394967
3000,1,foreground,1 1000001-1500000,2395,234.8401151709695,22.403145297161245,37.69663904596746,212.43696987380827,197.14347612500205,242.48686204537262
3000,8,background,1 1-500000,2448,186.95925184470252,71.09586178668178,13.826079185953859,115.86339005802074,173.13317265874866,158.32436054433856
3000,8,background,1 500001-1000000,2480,379.63578092646276,17.69472705899534,2.6248902294064465,361.9410538674674,377.0108906970563,372.1008625116683
3000,8,foreground,1 1000001-1500000,1907,624.0885086367889,12.969910484056527,5.566550371022458,611.1185981527324,618.5219582657664,620.3868285802719
3000,38,background,1 1-500000,2331,374.6210700387019,61.85491088283743,112.81364338947606,312.76615915586444,261.8074266492258,400.1004362920212
3000,38,background,1 500001-1000000,2412,258.27199645131986,50.09155704464865,62.57288501885705,208.1804394066712,195.69911143246281,264.51266043842406
3000,38,foreground,1 1000001-1500000,2167,404.8668314030947,21.88284171235864,25.06947481292991,382.98398969073605,379.7973565901648,406.46014795338033
3000,31,background,1 1-500000,2524,303.3183468656134,141.4875200558272,11.991706091419474,161.83082680978623,291.32664077419395,238.57043988340956
3000,31,background,1 500001-1000000,2461,352.3275256735251,20.901314406066376,107.92105757272657,331.4262112674587,244.40646810079852,395.8373972568552
3000,31,foreground,1 1000001-1500000,2025,594.9103211588299,45.82670189922828,81.90752731223802,549.0836192596016,513.0027938465919,612.9507338653348
3000,36,background,1 1-500000,2509,321.81640941290607,76.28515396774674,18.47312331721332,245.53125544515933,303.34328609569275,292.91039408763936
3000,36,background,1 500001-1000000,2517,263.94051567246424,54.89573547145483,48.98473997227484,209.04478020100942,214.9557757001894,260.98501792287425
3000,36,foreground,1 1000001-1500000,1815,568.1353228888984,17.52525724170664,60.41840550153756,550.6100656471917,507.7169173873608,589.5818970188138
3000,96,background,1 1-500000,2388,552.5784076312411,135.00046856648623,196.1464098158176,417.5779390647549,356.43199781542353,583.1513782559068
3000,96,background,1 500001-1000000,2293,204.55373900245831,36.658972126966546,154.68140167697857,167.89476687549177,49.87233732547975,263.5649537774643
3000,96,foreground,1 1000001-1500000,2243,551.9913058636121,4.60918116639732,358.58473647362734,547.3821246972147,193.40656938998472,728.9790835172271
3000,62,background,1 1-500000,2402,203.8732131177203,17.666303243611765,38.30297948884254,186.20690987410853,165.57023362887776,214.19155124033568
3000,62,background,1 500001-1000000,2290,258.078458767548,61.555553798534675,18.111735454051086,196.52290496901333,239.9667233134969,236.3565495953062
3000,62,foreground,1 1000001-1500000,2134,372.07213294921894,125.29577235030229,27.821293458982836,246.77636059891665,344.2508394902361,323.3348935035592
3000,65,background,1 1-500000,2519,248.97954102657968,39.12036735653601,61.35397075430228,209.85917367004367,187.6255702722774,260.0963427254628
3000,65,background,1 500001-1000000,2406,253.51566427755824,9.349809241739422,2.250007681417628,244.16585503581882,251.26565659614062,249.96576349739735
3000,65,foreground,1 1000001-1500000,2289,320.2855846987113,62.191011900940794,15.664204919736221,258.0945727977705,304.6213797789751,297.02218120810903
3000,91,background,1 1-500000,2288,252.84733027274706,38.39855865307982,65.24366735809417,214.44877161966724,187.6036629146529,266.26988462525424
3000,91,background,1 500001-1000000,2463,272.1183190187585,66.20366481415113,15.01398858059838,205.91465420460736,257.1043304381601,246.5234809019821
3000,91,foreground,1 1000001-1500000,2295,349.8908071554324,45.478331645786966,98.15371963739744,304.41247550964545,251.73708751803497,376.22850115123765
3000,53,background,1 1-500000,2352,inf,65.1893551825815,85.33975295656637,inf,inf,inf
3000,53,background,1 500001-1000000,2339,214.61578665944762,47.69179335626541,113.66693279778701,166.92399330318221,100.94885386166061,247.60335638020842
3000,53,foreground,1 1000001-1500000,2280,304.6238209696967,94.99317415525002,74.10332137115984,209.63064681444666,230.52049959853684,294.1788945776516
3000,98,background,1 1-500000,2374,222.8138266556416,68.81290243571493,62.733215737705905,154.00092421992667,160.0806109179357,219.7739833066371
3000,98,background,1 500001-1000000,2465,227.19492891703703,32.61583146943303,98.68545352603178,194.579097447604,128.50947539100525,260.2297399453364
