"generation","iteration","region","window_coords","snp_count","T2D","T1D_p1","T1D_p2","new_term_p1","new_term_p2","T2D_diff","FST"
5000,1,"foreground","1 1000001-1500000",510,149.835359534722,2.8076520169293,20.7611856495996,147.027707517792,129.074173885122,158.812126351057,0.00718094
5000,1,"background","1 500001-1000000",685,164.103910337287,24.5850064043825,6.98419171319983,139.518903932904,157.119718624087,155.303502991695,0.00369975
6000,1,"foreground","1 1000001-1500000",316,154.182331877994,7.04886752169364,7.19364470388564,147.133464356301,146.988687174109,154.25472046909,0.0186964
6000,1,"background","1 500001-1000000",283,225.039922193469,10.4405905916981,6.28579997773909,214.599331601771,218.75412221573,222.96252688649,0.0126794
7000,1,"foreground","1 1000001-1500000",280,107.804295320075,25.5353302038582,6.15797819678164,82.2689651162168,101.646317123293,98.1156193165367,0.00954507
7000,1,"background","1 500001-1000000",282,200.060638912632,18.3678424228394,4.98778895801763,181.692796489793,195.072849954615,193.370612180221,0.0110973
8000,1,"foreground","1 1000001-1500000",337,188.601015667889,1.92741751150174,16.6206669215328,186.673598156388,171.980348746357,195.947640372905,0.0435638
8000,1,"background","1 500001-1000000",334,107.672103480355,6.17126649525994,12.0130357499052,101.500836985095,95.65906773045,110.592988107678,0.00743817
9000,1,"background","1 500001-1000000",299,351.187709218211,4.04778348985349,134.354700282552,347.139925728357,216.833008935659,416.34116761456,0.0232673
10000,1,"foreground","1 1000001-1500000",451,1374.19603582347,52.8448167037009,163.880908270268,1321.35121911977,1210.3151275532,1429.71408160675,0.469161
10000,1,"background","1 500001-1000000",328,106.825388009719,5.05431685739984,4.77870598835489,101.771071152319,102.046682021364,106.687582575196,0.0895736
5000,2,"foreground","1 1000001-1500000",655,204.314716058205,15.1713149118714,23.7819339825237,189.143401146333,180.532782075681,208.620025593531,0.00211918
5000,2,"background","1 500001-1000000",645,157.042793567843,13.2118835281763,6.63140172888325,143.830910039666,150.411391838959,153.752552668196,0.00198341
6000,2,"foreground","1 1000001-1500000",264,211.101837548941,34.7510325533858,12.0710989711437,176.350804995555,199.030738577797,199.76187075782,0.00773628
6000,2,"background","1 500001-1000000",317,280.876614245551,32.0628881875207,55.4352192129993,248.81372605803,225.441395032551,292.56277975829,0.0095069
7000,2,"foreground","1 1000001-1500000",317,114.753222575888,6.25906362085493,5.38270698076576,108.494158955033,109.370515595122,114.315044255843,0.00644183
7000,2,"background","1 500001-1000000",302,166.331675665483,11.2662776733355,19.4822261274744,155.065397992147,146.849449538008,170.439649892552,0.00880523
8000,2,"foreground","1 1000001-1500000",313,248.555034777259,5.32721067202692,13.4207415225761,243.227824105232,235.134293254683,252.601800202533,0.0621533
8000,2,"background","1 500001-1000000",326,228.252116083612,35.7334671163569,39.8579659865063,192.518648967255,188.394150097106,230.314365518687,0.00748848
9000,2,"background","1 500001-1000000",305,136.317813540064,31.3183866165789,5.79225812078528,104.999426923485,130.525555419278,123.554749292167,0.0198821
10000,2,"foreground","1 1000001-1500000",444,1063.6554321425,38.4759965400981,27.7918407954969,1025.1794356024,1035.863591347,1058.3133542702,0.576278
10000,2,"background","1 500001-1000000",330,122.646106849644,2.65536573651957,22.2377181587426,119.990741113124,100.408388690901,132.437283060755,0.0572623
5000,3,"foreground","1 1000001-1500000",684,154.35123152179,31.5587730988582,6.19914154869821,122.792458422932,148.152089973092,141.67141574671,0.00212526
5000,3,"background","1 500001-1000000",676,127.934931964244,2.58119887156317,4.26759241315358,125.353733092681,123.667339551091,128.778128735039,0.0025635
6000,3,"foreground","1 1000001-1500000",272,152.854767150435,3.64577891124509,24.3024468318065,149.20898823919,128.552320318629,163.183101110716,0.00499989
6000,3,"background","1 500001-1000000",400,294.551071009096,31.8305641741122,12.5482284980421,262.720506834984,282.002842511054,284.909903171061,0.0247828
7000,3,"foreground","1 1000001-1500000",272,119.464393202625,7.47587429313899,2.09237443453458,111.988518909486,117.372018768091,116.772643273323,0.0144922
7000,3,"background","1 500001-1000000",349,301.363055839827,14.8544287736881,19.3278135081237,286.508627066139,282.035242331704,303.599748207045,0.00577811
8000,3,"foreground","1 1000001-1500000",298,220.230868007975,34.9838173666506,3.90242384426506,185.247050641325,216.32844416371,204.690171246783,0.115777
8000,3,"background","1 500001-1000000",302,100.873100038418,16.2585407023914,4.41512838511062,84.6145593360263,96.4579716533071,94.9513938797774,0.010828
9000,3,"foreground","1 1000001-1500000",349,1123.69240150021,6.27218533754694,22.7055917243367,1117.42021616267,1100.98680977588,1131.90910469361,0.224916
9000,3,"background","1 500001-1000000",394,115.928249580578,9.62898888445716,9.2198037493913,106.299260696121,106.708445831187,115.723657013045,0.0292957
10000,3,"foreground","1 1000001-1500000",411,1414.83763365098,296.017964485688,15.2430875946614,1118.81966916529,1399.59454605632,1274.45019520547,0.422912
10000,3,"background","1 500001-1000000",328,177.373624405087,5.44742580104651,43.1565976038024,171.92619860404,134.217026801284,196.228210306464,0.0559039
5000,4,"foreground","1 1000001-1500000",663,239.610402819384,12.3595918657984,8.52915326971197,227.250810953586,231.081249549672,237.695183521341,0.00263969
5000,4,"background","1 500001-1000000",556,231.430101489958,30.6566503348299,0.478204770930915,200.773451155128,230.951896719027,216.340878708009,0.00262451
6000,4,"foreground","1 1000001-1500000",350,288.284813796566,58.9456158157448,97.5541201360647,229.339197980821,190.730693660501,307.589065956726,0.0362827
6000,4,"background","1 500001-1000000",309,159.654654465586,11.8373621680132,23.511311765923,147.817292297573,136.143342699663,165.491629264541,0.0115958
7000,4,"foreground","1 1000001-1500000",322,135.0328640707,9.88308160766337,20.5486407533572,125.149782463036,114.484223317343,140.365643643547,0.00607203
7000,4,"background","1 500001-1000000",326,155.161514981978,0.858754998475206,13.1393557461245,154.302759983503,142.022159235854,161.301815355803,0.0045121
8000,4,"foreground","1 1000001-1500000",266,130.401515112532,3.15528568446052,6.71090833237486,127.246229428071,123.690606780157,132.179326436489,0.0625378
8000,4,"background","1 500001-1000000",351,208.247054679167,27.6762384917083,6.31065723706706,180.570816187459,201.9363974421,197.564264051847,0.042743
9000,4,"background","1 500001-1000000",343,111.347545991806,5.37938857447375,6.86000107519681,105.968157417333,104.48754491661,112.087852242168,0.0183188
10000,4,"foreground","1 1000001-1500000",433,1534.93916140909,100.945362741215,3.10059357173589,1433.99379866787,1531.83856783735,1486.01677682435,0.57282
10000,4,"background","1 500001-1000000",341,299.448904261262,33.505835447942,31.0278784127668,265.94306881332,268.421025848495,298.209925743674,0.0677735
5000,5,"foreground","1 1000001-1500000",611,149.332921753386,41.0591548880357,58.9629949993014,108.273766865351,90.3699267540851,158.284841809019,0.00224121
5000,5,"background","1 500001-1000000",596,140.595908102297,43.1330876739516,48.6431153539006,97.4628204283449,91.952792748396,143.350921942271,0.00294188
6000,5,"foreground","1 1000001-1500000",360,317.943074982647,69.1455308146997,6.6791245392526,248.797544167947,311.263950443394,286.709871844923,0.00684142
6000,5,"background","1 500001-1000000",286,261.437175346544,61.5251952513222,33.792442693396,199.911980095222,227.644732653148,247.570799067581,0.00504498
7000,5,"foreground","1 1000001-1500000",338,287.158255640207,49.5824683274977,24.5641435306372,237.575787312709,262.59411210957,274.649093241777,0.0269839
7000,5,"background","1 500001-1000000",282,176.124041300659,4.72298263636844,34.4751281065555,171.401058664291,141.648913194103,191.000114035753,0.00863151
8000,5,"foreground","1 1000001-1500000",380,266.66491791608,7.99451999763915,22.0474439561876,258.67039791844,244.617473959892,273.691379895354,0.166229
8000,5,"background","1 500001-1000000",310,178.723648735097,21.7938395939887,10.6834835691704,156.929809141108,168.040165165927,173.168470722688,0.0142674
9000,5,"foreground","1 1000001-1500000",457,587.693881434215,59.8296101408469,3.21151623087144,527.864271293368,584.482365203343,559.384834479227,0.29031
9000,5,"background","1 500001-1000000",271,154.220787005761,17.6856363199113,24.9374170173156,136.53515068585,129.283369988446,157.846677354463,0.0151735
10000,5,"foreground","1 1000001-1500000",501,953.486529761021,47.9735208641018,50.7601879379945,905.513008896919,902.726341823027,954.879863297968,0.558106
10000,5,"background","1 500001-1000000",364,190.900849612081,7.99844037019056,3.0675013937414,182.90240924189,187.83334821834,188.435380123856,0.134809
5000,6,"foreground","1 1000001-1500000",653,143.995086191228,25.4960753214436,21.1572848776632,118.499010869785,122.837801313565,141.825690969338,0.00246856
5000,6,"background","1 500001-1000000",634,171.728633799317,26.6902780671653,52.0856554882384,145.038355732152,119.642978311079,184.426322509854,0.0020309
6000,6,"foreground","1 1000001-1500000",318,160.813242291779,22.7128659680502,35.7546840017071,138.100376323729,125.058558290072,167.334151308608,0.00894754
6000,6,"background","1 500001-1000000",352,344.433652578176,16.470067221117,23.7263570005123,327.963585357059,320.707295577664,348.061797467874,0.0236292
7000,6,"foreground","1 1000001-1500000",331,277.813755964996,18.5437939442502,39.1096645659941,259.269962020746,238.704091399002,288.096691275868,0.0235413
7000,6,"background","1 500001-1000000",321,136.497362281325,3.54038275486255,12.008296505765,132.956979526462,124.48906577556,140.731319156776,0.0055317
